Event_Time_IST,Login_Name,Database_User,Database_Name,Host_Name,Application_Name,Session_ID,SQL_Text
16-09-2026 15:40,INFRA\bbmpuser2,INFRA\bbmpuser2,EkhataTest,BBMP-DB-VP-15,Microsoft SQL Server Management Studio - Query,83," ALTER proc [dbo].[USP_S_KRS]     @KRSID bigint,     @SASNumber nvarchar(50),  @EPID nvarchar(11), @level int=0    --1 means search by KRSId, 2 means search by SAS ID as     begin         declare @KhataType nvarchar(20)=''  	if @level =0 or @level is null 		begin 			set @level=1 		end  		if @level=1 		begin  		 		  		set @KhataType = (select  case when count(1)>0 then 'A-Khata' else 'B-Khata' end KhataType  		from documentTran with (nolock) where docTrn_KRS_Id=@KRSID and  docTrn_Mdoc_id between 20 and 26 )   		SELECT   distinct    		 [KRS_Id] KRSId     			  ,[KRS_SASNo] AS SASNo     			  ,[KRS_PNR] PNR     			  ,[KRS_MPT_ID] MasterPropertyTypeId    , 			  mpt.MPT_name masterPropertyname 			  ,[KRS_MRT_ID] MasterresidentialTypeId           			  ,[KRS_Street] Street     			  ,[KRS_MStreetId] StreetId     			  ,[KRS_latitude] Latitude     			  ,[KRS_longitude] Longitude     			  ,[KRS_MStsId] StausId               			  ,[KRS_Active]     			  ,[KRS_AdditionalInfo]     			  ,[KRS_CBy] UserId     			  ,[KRS_CDte]     			  ,[KRS_CRole] 			  ,[KRS_IsSSA_applied], 			  pd.propertyAreaPreferenceValue, 		   ms.Name ZoneName,   		   ms.StreetName as StreetName,   		   ms.WardName Wardname , 		   KRS_DoorOrPlotNo DoorOrPlotNo,  		KRS_BuildingOrLand BuildingOrLand, 		KRS_landMark landmark, 		KRS_Pincode Pincode, 		KRS_locality locality, 		KRS_EPID, 		-- newly added for dc 		[KRS_IS_DC_Approved],       [KRS_DC_Approved_Remarks],       [KRS_DC_Approved_By],       [KRS_DC_Approved_Date], 		isnull(KRS_BhoomiLandIdentityType,'') as BhoomiLandIdentityType, 		  			  KRS_AdditionalStreet AdditionalStreet, 			  krs_MPUT_ID PropertyUseType, 			 KRS_IsBDAKhataExist IsBDAKhataExist , 			 isnull(krs_HasPropertyTaxPaidButNoKhata,0)  HasPropertyTaxPaidButNoKhata , 			 @KhataType KhataType, 			 cast( case when  isnull(PDAD_IsDeedBeforeOrAfter2004,'after') ='after' then 0 else 1 end as bit) IsDeedBefore01042004, 			 case when  isnull(PDAD_IsDeedBeforeOrAfter2004,'after') ='after'  then 'Deed after 01.04.2004' 			   when   isnull(PDAD_IsDeedBeforeOrAfter2004,'after') ='before' then 'Deed before 01.04.2004' 			   when   isnull(PDAD_IsDeedBeforeOrAfter2004,'after') ='Notification' then 'Govt Agency Acquiring/Getting land from Govt.' 			   when   isnull(PDAD_IsDeedBeforeOrAfter2004,'after') ='DevAprBDA' then 'Devlopment plan approved by BDA/BMICPA'  			   when   isnull(PDAD_IsDeedBeforeOrAfter2004,'NoDeed') ='NoDeed' then 'NoDeed'  			   when   isnull(PDAD_IsDeedBeforeOrAfter2004,'after') ='tdr' then 'TDR /DRC (Form 3)'  			   end 			  ApplicablePropertyCategory, 			 Isnull(KRS_EasthiSts_Id ,0) EasthiStatus 		  FROM [dbo].[KRS] krs   with (nolock)   		  left JOIN KRS_PropDetailsAsPerDeed pd with (nolock) ON krs.KRS_Id = pd.PDAD_KRS_ID 			 left join Mst_Street ms with (nolock) on krs.KRS_MStreetId = ms.StreetId   		   and krs.KRS_ZoneId = ms.ZoneID and krs.KRS_WardId = ms.WardId   		   left join mst_propertyType mpt on krs.KRS_MPT_ID = mpt.MPT_Id 		  where KRS_Id=@KRSID and krs_active=1     	end else if @level =2 -- search with sas id 	begin 	set @KhataType = (select  case when count(1)>0 then 'A-Khata' else 'B-Khata' end KhataType  		from documentTran with (nolock) where docTrn_KRS_Id=@KRSID and  docTrn_Mdoc_id between 20 and 26 )  		SELECT   distinct    		 [KRS_Id] KRSId     			  ,[KRS_SASNo] AS SASNo     			  ,[KRS_PNR] PNR     			  ,[KRS_MPT_ID] MasterPropertyTypeId    , 			  mpt.MPT_name masterPropertyname 			  ,[KRS_MRT_ID] MasterresidentialTypeId           			  ,[KRS_Street] Street     			  ,[KRS_MStreetId] StreetId     			  ,[KRS_latitude] Latitude     			  ,[KRS_longitude] Longitude     			  ,[KRS_MStsId] StausId               			  ,[KRS_Active]     			  ,[KRS_AdditionalInfo]     			  ,[KRS_CBy] UserId     			  ,[KRS_CDte]     			  ,[KRS_CRole] 			  ,[KRS_IsSSA_applied], 			  pd.propertyAreaPreferenceValue, 		   ms.Name ZoneName,   		   ms.StreetName as StreetName,   		   ms.WardName Wardname , 		   KRS_DoorOrPlotNo DoorOrPlotNo,  		KRS_BuildingOrLand BuildingOrLand, 		KRS_landMark landmark, 		KRS_Pincode Pincode, 		KRS_locality locality, 		KRS_EPID, 		-- newly added for DC 		[KRS_IS_DC_Approved],       [KRS_DC_Approved_Remarks],       [KRS_DC_Approved_By],       [KRS_DC_Approved_Date],  		isnull(KRS_BhoomiLandIdentityType,'') as BhoomiLandIdentityType, 		KRS_AdditionalStreet AdditionalStreet, 			  krs_MPUT_ID PropertyUseType, 			 KRS_IsBDAKhataExist IsBDAKhataExist  , 			 isnull(krs_HasPropertyTaxPaidButNoKhata,0)  HasPropertyTaxPaidButNoKhata, 			 @KhataType KhataType, 			  cast( case when  isnull(PDAD_IsDeedBeforeOrAfter2004,'after') ='after' then 0 else 1 end as bit) IsDeedBefore01042004, 			  case when  isnull(PDAD_IsDeedBeforeOrAfter2004,'after') ='after'  then 'Deed after 01.04.2004' 			   when   isnull(PDAD_IsDeedBeforeOrAfter2004,'after') ='before' then 'Deed before 01.04.2004' 			   when   isnull(PDAD_IsDeedBeforeOrAfter2004,'after') ='Notification' then 'Govt Agency Acquiring/Getting land from Govt.' 			   when   isnull(PDAD_IsDeedBeforeOrAfter2004,'after') ='DevAprBDA' then 'Devlopment plan approved by BDA/BMICPA'  			    when   isnull(PDAD_IsDeedBeforeOrAfter2004,'NoDeed') ='NoDeed' then 'NoDeed'  				when   isnull(PDAD_IsDeedBeforeOrAfter2004,'after') ='tdr' then 'TDR /DRC (Form 3)' 				end 			  ApplicablePropertyCategory,  			  Isnull(KRS_EasthiSts_Id ,0) EasthiStatus 		  FROM [dbo].[KRS] krs    with (nolock) 		   left JOIN KRS_PropDetailsAsPerDeed pd with (nolock) ON krs.KRS_Id = pd.PDAD_KRS_ID 			 left join Mst_Street ms with (nolock) on krs.KRS_MStreetId = ms.StreetId   		   and krs.KRS_ZoneId = ms.ZoneID and krs.KRS_WardId = ms.WardId   		   left join mst_propertyType mpt on krs.KRS_MPT_ID = mpt.MPT_Id 		  where ISNULL(KRS_SASNo,'')=@SASNumber and krs_active=1 	end  	else if @level =3 -- search with EPID id 	begin 	set @KhataType = (select  case when count(1)>0 then 'A-Khata' else 'B-Khata' end KhataType  		from documentTran with (nolock) where docTrn_KRS_Id=@KRSID and  docTrn_Mdoc_id between 20 and 26 )  		SELECT   distinct    		 [KRS_Id] KRSId     			  ,[KRS_SASNo] AS SASNo     			  ,[KRS_PNR] PNR     			  ,[KRS_MPT_ID] MasterPropertyTypeId    , 			  mpt.MPT_name masterPropertyname 			  ,[KRS_MRT_ID] MasterresidentialTypeId           			  ,[KRS_Street] Street     			  ,[KRS_MStreetId] StreetId     			  ,[KRS_latitude] Latitude     			  ,[KRS_longitude] Longitude     			  ,[KRS_MStsId] StausId               			  ,[KRS_Active]     			  ,[KRS_AdditionalInfo]     			  ,[KRS_CBy] UserId     			  ,[KRS_CDte]     			  ,[KRS_CRole] 			  ,[KRS_IsSSA_applied], 			  pd.propertyAreaPreferenceValue, 		   ms.Name ZoneName,   		   ms.StreetName as StreetName,   		   ms.WardName Wardname , 		   KRS_DoorOrPlotNo DoorOrPlotNo,  		KRS_BuildingOrLand BuildingOrLand, 		KRS_landMark landmark, 		KRS_Pincode Pincode, 		KRS_locality locality, 		KRS_EPID, 		-- newly added for dc 		[KRS_IS_DC_Approved],       [KRS_DC_Approved_Remarks],       [KRS_DC_Approved_By],       [KRS_DC_Approved_Date], 		isnull(KRS_BhoomiLandIdentityType,'') as BhoomiLandIdentityType, 		KRS_AdditionalStreet AdditionalStreet, 			  krs_MPUT_ID PropertyUseType, 			 KRS_IsBDAKhataExist IsBDAKhataExist  , 			 isnull(krs_HasPropertyTaxPaidButNoKhata,0)  HasPropertyTaxPaidButNoKhata, 			 @KhataType KhataType, 			  cast( case when  isnull(PDAD_IsDeedBeforeOrAfter2004,'after') ='after' then 0 else 1 end as bit) IsDeedBefore01042004, 			  case when  isnull(PDAD_IsDeedBeforeOrAfter2004,'after') ='after'  then 'Deed after 01.04.2004' 			   when   isnull(PDAD_IsDeedBeforeOrAfter2004,'after') ='before' then 'Deed before 01.04.2004' 			   when   isnull(PDAD_IsDeedBeforeOrAfter2004,'after') ='Notification' then 'Govt Agency Acquiring/Getting land from Govt.' 			   when   isnull(PDAD_IsDeedBeforeOrAfter2004,'after') ='DevAprBDA' then 'Devlopment plan approved by BDA/BMICPA'  			    when   isnull(PDAD_IsDeedBeforeOrAfter2004,'NoDeed') ='NoDeed' then 'NoDeed'  				when   isnull(PDAD_IsDeedBeforeOrAfter2004,'after') ='tdr' then 'TDR /DRC (Form 3)' 				end 			  ApplicablePropertyCategory,  			  Isnull(KRS_EasthiSts_Id ,0) EasthiStatus 		  FROM [dbo].[KRS] krs    with (nolock) 		   left JOIN KRS_PropDetailsAsPerDeed pd with (nolock) ON krs.KRS_Id = pd.PDAD_KRS_ID 			 left join Mst_Street ms with (nolock) on krs.KRS_MStreetId = ms.StreetId   		   and krs.KRS_ZoneId = ms.ZoneID and krs.KRS_WardId = ms.WardId   		   left join mst_propertyType mpt on krs.KRS_MPT_ID = mpt.MPT_Id 		  where ISNULL(KRS_EPID,'')=@EPID and krs_active=1 	end else 	begin 	set @KhataType = (select  case when count(1)>0 then 'A-Khata' else 'B-Khata' end KhataType  		from documentTran with (nolock) where docTrn_KRS_Id=@KRSID and  docTrn_Mdoc_id between 20 and 26 )  		SELECT      distinct 		 [KRS_Id] KRSId     			  ,[KRS_SASNo] AS SASNo     			  ,[KRS_PNR] PNR     			  ,[KRS_MPT_ID] MasterPropertyTypeId    , 			  mpt.MPT_name masterPropertyname 			  ,[KRS_MRT_ID] MasterresidentialTypeId           			  ,[KRS_Street] Street     			  ,[KRS_MStreetId] StreetId     			  ,[KRS_latitude] Latitude     			  ,[KRS_longitude] Longitude     			  ,[KRS_MStsId] StausId               			  ,[KRS_Active]     			  ,[KRS_AdditionalInfo]     			  ,[KRS_CBy] UserId     			  ,[KRS_CDte]     			  ,[KRS_CRole] 			  ,[KRS_IsSSA_applied],  			  pd.propertyAreaPreferenceValue, 		   ms.Name ZoneName,   		   ms.StreetName as StreetName,   		   ms.WardName Wardname , 		   KRS_DoorOrPlotNo DoorOrPlotNo,  		KRS_BuildingOrLand BuildingOrLand, 		KRS_landMark landmark, 		KRS_Pincode Pincode, 		KRS_locality locality, 		KRS_EPID, 		-- newly added for dc 		[KRS_IS_DC_Approved],       [KRS_DC_Approved_Remarks],       [KRS_DC_Approved_By],       [KRS_DC_Approved_Date], 		isnull(KRS_BhoomiLandIdentityType,'') as BhoomiLandIdentityType, 		KRS_AdditionalStreet AdditionalStreet, 			  krs_MPUT_ID PropertyUseType, 			KRS_IsBDAKhataExist  IsBDAKhataExist  , 			 isnull(krs_HasPropertyTaxPaidButNoKhata,0)  HasPropertyTaxPaidButNoKhata, 			 @KhataType KhataType, 			  cast( case when  isnull(PDAD_IsDeedBeforeOrAfter2004,'after') ='after' then 0 else 1 end as bit) IsDeedBefore01042004, 			  case when  isnull(PDAD_IsDeedBeforeOrAfter2004,'after') ='after'  then 'Deed after 01.04.2004' 			   when   isnull(PDAD_IsDeedBeforeOrAfter2004,'after') ='before' then 'Deed before 01.04.2004' 			   when   isnull(PDAD_IsDeedBeforeOrAfter2004,'after') ='Notification' then 'Govt Agency Acquiring/Getting land from Govt.' 			   when   isnull(PDAD_IsDeedBeforeOrAfter2004,'after') ='DevAprBDA' then 'Devlopment plan approved by BDA/BMICPA'  			    when   isnull(PDAD_IsDeedBeforeOrAfter2004,'NoDeed') ='NoDeed' then 'NoDeed'  				when   isnull(PDAD_IsDeedBeforeOrAfter2004,'after') ='tdr' then 'TDR /DRC (Form 3)' 				end 			  ApplicablePropertyCategory,  			  Isnull(KRS_EasthiSts_Id ,0) EasthiStatus 		  FROM [dbo].[KRS] krs    with (nolock) 		   left JOIN KRS_PropDetailsAsPerDeed pd with (nolock) ON krs.KRS_Id = pd.PDAD_KRS_ID 			 left join Mst_Street ms with (nolock) on krs.KRS_MStreetId = ms.StreetId   		   and krs.KRS_ZoneId = ms.ZoneID and krs.KRS_WardId = ms.WardId   		   left join mst_propertyType mpt on krs.KRS_MPT_ID = mpt.MPT_Id 		  where KRS_Id=@KRSID and krs_active=1 	end end "
16-09-2026 15:35,INFRA\bbmpuser2,INFRA\bbmpuser2,EkhataTest,BBMP-DB-VP-15,Microsoft SQL Server Management Studio - Query,116,"update KRS_PropDetailsAsPerDeed set PDAD_IsDeedBeforeOrAfter2004='tdr' where PDAD_KRS_ID in ( 2305, 2307, 2308, 2309, 2316)"
16-09-2026 15:34,INFRA\bbmpuser2,INFRA\bbmpuser2,EkhataTest,BBMP-DB-VP-15,Microsoft SQL Server Management Studio - Query,116," update krs set KRS_ZoneId=8 where KRS_Id in ( 2305, 2307, 2308, 2309, 2316)"
16-09-2026 15:27,INFRA\bbmpuser2,INFRA\bbmpuser2,EkhataTest,BBMP-DB-VP-15,Microsoft SQL Server Management Studio - Query,116, update mst_CaseWorker set cw_UserZoneId=101 where cw_UserRoleId=4
16-09-2026 15:26,INFRA\bbmpuser2,INFRA\bbmpuser2,EkhataTest,BBMP-DB-VP-15,Microsoft SQL Server Management Studio - Query,116,update  mst_CaseWorker set cw_UserRoleId=4 where cw_UserMobile='8722859727' and cw_UserRoleId=3 update mst_citizen set Citz_RolId=4 where Citz_RolId=3 and Citz_MNo='8722859727'
16-09-2026 15:26,INFRA\bbmpuser2,INFRA\bbmpuser2,EkhataTest,BBMP-DB-VP-15,Microsoft SQL Server Management Studio - Query,116,update  mst_CaseWorker set cw_UserRoleId=4 where cw_UserMobile='8722859727' and cw_UserRoleId=3 update mst_citizen set Citz_RolId=4 where Citz_RolId=3 and Citz_MNo='8722859727'
16-09-2026 15:03,INFRA\bbmpuser2,INFRA\bbmpuser2,EkhataTest,BBMP-DB-VP-15,Microsoft SQL Server Management Studio - Query,95," ALTER PROCEDURE [dbo].[USP_U_UpdateDCApproval] (     @KRS_Id BIGINT,     @DC_Approved BIT = NULL,     @DC_Approved_Remarks NVARCHAR(MAX) = NULL,     @DC_ApprovedBy INT ) AS BEGIN     SET NOCOUNT ON;      -- Helps EDMX detect result columns     IF 1 = 0     BEGIN         SELECT              CAST(NULL AS BIGINT) AS KRS_Id,             CAST(NULL AS BIT) AS DC_Approved,             CAST(NULL AS NVARCHAR(MAX)) AS DC_Approved_Remarks,             CAST(NULL AS INT) AS DC_ApprovedBy,             CAST(NULL AS DATETIME) AS DC_ApprovedDate;     END;      UPDATE [EkhataTest].[dbo].[KRS]     SET         KRS_IS_DC_Approved = @DC_Approved,         KRS_DC_Approved_Remarks = @DC_Approved_Remarks,         KRS_DC_Approved_By = @DC_ApprovedBy,         KRS_DC_Approved_Date = GETDATE()     WHERE KRS_Id = @KRS_Id;      SELECT          CAST(KRS_Id AS BIGINT) AS KRS_Id,         CAST(KRS_IS_DC_Approved AS BIT) AS DC_Approved,         CAST(KRS_DC_Approved_Remarks AS NVARCHAR(MAX)) AS DC_Approved_Remarks,         CAST(KRS_DC_Approved_By AS INT) AS DC_ApprovedBy,         CAST(KRS_DC_Approved_Date AS DATETIME) AS DC_ApprovedDate     FROM [EkhataTest].[dbo].[KRS]     WHERE KRS_Id = @KRS_Id; END"
16-09-2026 15:02,INFRA\bbmpuser2,INFRA\bbmpuser2,EkhataTest,BBMP-DB-VP-15,Microsoft SQL Server Management Studio - Query,102," CREATE PROCEDURE [dbo].[USP_S_GetAdrApplications_DashData] (     @KRS_CBy BIGINT ) AS BEGIN     SET NOCOUNT ON;      DECLARE @mobileNo NVARCHAR(20);       /* Get citizen mobile number */     SELECT TOP 1         @mobileNo = Citz_MNo     FROM mst_citizen WITH (NOLOCK)     WHERE Citz_Id = @KRS_CBy       AND Citz_Active = 1;       /* Get KRS data for CaseWorker's mapped zone */     SELECT DISTINCT          CASE             WHEN K.KRS_EPID IS NULL THEN ''             ELSE CAST(K.KRS_EPID AS NVARCHAR(50))         END AS KRS_EPID,          K.KRS_Id,         K.KRS_PNR,          M.GBAZoneName_En AS ZoneName,          '' AS DivisionName,          '' AS WardName,          sts.Sts_Name,          K.KRS_IS_DC_Approved,          CASE             WHEN K.KRS_SASNo IS NULL                  OR K.KRS_SASNo = ''                  OR K.KRS_SASNo = '0'             THEN '-'             ELSE K.KRS_SASNo         END AS SASNo,          CONVERT(NVARCHAR(10), K.KRS_CDte, 103) AS ApplicationDate      FROM KRS K WITH (NOLOCK)      INNER JOIN [masterdb_preprod].[dbo].[mst_AROMapping] M WITH (NOLOCK)         ON K.KRS_ZoneId = M.BBMPZoneID      INNER JOIN mst_CaseWorker CW WITH (NOLOCK)         ON CW.cw_UserZoneId = M.GBAZoneID         AND CW.cw_IsActive = 1      INNER JOIN KRS_PropDetailsAsPerDeed APD WITH (NOLOCK)         ON K.KRS_Id = APD.PDAD_KRS_ID      INNER JOIN Mst_AppStatus sts WITH (NOLOCK)         ON sts.Sts_Id = K.KRS_MStsId      WHERE         CW.cw_UserRoleId = 4         AND CW.cw_UserMobile = @mobileNo          AND K.KRS_Active = 1         AND K.KRS_MStsId >= 8          AND APD.PDAD_IsDeedBeforeOrAfter2004 = 'tdr'      ORDER BY         K.KRS_Id DESC;  END"
16-09-2026 14:59,INFRA\bbmpuser2,INFRA\bbmpuser2,EkhataTest,BBMP-DB-VP-15,Microsoft SQL Server Management Studio - Query,95," CREATE PROCEDURE [dbo].[USP_U_UpdateDCApproval] (     @KRS_Id BIGINT,     @DC_Approved BIT = NULL,     @DC_Approved_Remarks NVARCHAR(MAX) = NULL,     @DC_ApprovedBy INT ) AS BEGIN     SET NOCOUNT ON;      -- Helps EDMX detect result columns     IF 1 = 0     BEGIN         SELECT              CAST(NULL AS BIGINT) AS KRS_Id,             CAST(NULL AS BIT) AS DC_Approved,             CAST(NULL AS NVARCHAR(MAX)) AS DC_Approved_Remarks,             CAST(NULL AS INT) AS DC_ApprovedBy,             CAST(NULL AS DATETIME) AS DC_ApprovedDate;     END;      UPDATE [Ekhata_test].[dbo].[KRS]     SET         KRS_IS_DC_Approved = @DC_Approved,         KRS_DC_Approved_Remarks = @DC_Approved_Remarks,         KRS_DC_Approved_By = @DC_ApprovedBy,         KRS_DC_Approved_Date = GETDATE()     WHERE KRS_Id = @KRS_Id;      SELECT          CAST(KRS_Id AS BIGINT) AS KRS_Id,         CAST(KRS_IS_DC_Approved AS BIT) AS DC_Approved,         CAST(KRS_DC_Approved_Remarks AS NVARCHAR(MAX)) AS DC_Approved_Remarks,         CAST(KRS_DC_Approved_By AS INT) AS DC_ApprovedBy,         CAST(KRS_DC_Approved_Date AS DATETIME) AS DC_ApprovedDate     FROM [Ekhata_test].[dbo].[KRS]     WHERE KRS_Id = @KRS_Id; END"
16-09-2026 14:59,INFRA\bbmpuser2,INFRA\bbmpuser2,EkhataTest,BBMP-DB-VP-15,Microsoft SQL Server Management Studio - Query,85," CREATE proc [dbo].[USP_S_ValidateDCOTP]           @OTP int,           @MobileNO nvarchar(20) --@DeviceID NVARCHAR(20)           as           begin           declare @Count int=0      declare @thresholdLockValue int =4    set  @Count= (select Count(*) from OTP_Tran where otp=@OTP  and MobileNO=@MobileNO and DATEDIFF(MINUTE, cdte,getdate()) <5 and ACTIVE is null    )              print @count    if @count =0 or @Count is null or @Count =''       begin     --check if user is valid and update the failed attempt     update mst_citizen set NoOfFailedAttempt = ISNULL(NoOfFailedAttempt,0)+1 ,    Citz_ACTIVE = case when NoOfFailedAttempt <= @thresholdLockValue then 1 else 0 end,    Citz_AdditionalInfo = case when NoOfFailedAttempt <= @thresholdLockValue then Citz_AdditionalInfo else 'Account is deactivated because of multiple invalid attempts' end ,  Citz_Locked_Date=GETDATE()   where   Citz_MNo=@MobileNO and Citz_RolId=4              end   else    begin     update mst_citizen set NoOfFailedAttempt = 0    where   Citz_MNo=@MobileNO    and Citz_Active=1 and Citz_RolId=4   end         --delete from DCA_OTP where otp=@OTP and  MobileNO= @MobileNO           --update OTP_Tran set ACTIVE=1 where otp=@OTP and  MobileNO=@MobileNO                             SELECT     case when  (@Count>0 and Citz_Active=1)  then cast(1 as bit) else cast(0 as bit) end  isvalidOTP  ,          Citz_Id,  Citz_MNo  , Citz_RolId,Citz_name,citz_zoneid,citz_divisionid,citz_wardid ,     Citz_AdditionalInfo AdditionalInfo,NoOfFailedAttempt      FROM mst_citizen USR            where    Citz_MNo=@MobileNO and Citz_RolId=4             end "
